OCC,SOCXX,OCCUPATION
2105,2310XX,"Lawyers, and judges, magistrates, and other judicial workers"
2110,2310XX,"Lawyers, and judges, magistrates, and other judicial workers"
2140,232011,Paralegals and Legal Assistants
2145,232011,Paralegals and Legal Assistants
2150,232090,Miscellaneous Legal Support Workers
2160,232090,Miscellaneous Legal Support Workers
2200,251000,Postsecondary Teachers
2300,252010,Preschool and Kindergarten Teachers
2310,252020,Elementary and Middle School Teachers
2320,252030,Secondary School Teachers
2330,252050,Special Education Teachers
2340,253000,Other Teachers and Instructors
2400,254010,"Archivists, Curators, and Museum Technicians"
2430,254021,Librarians
2440,254031,Library Technicians
2540,259041,Teacher Assistants
2550,2590XX,"Other Education, Training, and Library Workers"
2600,271010,Artists and Related Workers
2630,271020,Designers
2700,272011,Actors
2710,272012,Producers and Directors
2720,272020,"Athletes, Coaches, Umpires, and Related Workers"
2740,272030,Dancers and Choreographers
2750,272040,"Musicians, Singers, and Related Workers"
2760,272099,"Entertainers and Performers, Sports and Related Workers, All Other"
2800,273010,Announcers
2810,273020,"News Analysts, Reporters and Correspondents"
2820,273031,Public Relations Specialists
2825,273031,Public Relations Specialists
2830,273041,Editors
2840,273042,Technical Writers
2850,273043,Writers and Authors
2860,273090,Miscellaneous Media and Communication Workers
2900,2740XX,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other"
2910,274021,Photographers
2920,274030,"Television, Video, and Motion Picture Camera Operators and Editors"
2960,2740XX,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other"
3000,291011,Chiropractors
3010,291020,Dentists
3030,291031,Dieticians and Nutritionists
3040,291041,Optometrists
3050,291051,Pharmacists
3060,291060,Physicians and Surgeons
3110,291071,Physician Assistants
3120,291081,Podiatrists
3130,291141,Registered Nurses
3140,291181,Audiologists
3150,291122,Occupational Therapists
3160,291123,Physical Therapists
3200,291124,Radiation Therapists
3210,291125,Recreational Therapists
3220,291126,Respiratory Therapists
3230,291127,SpeechLanguage Pathologists
3235,291129,"Therapists, All Other"
3240,291129,"Therapists, All Other"
3245,291129,"Therapists, All Other"
3250,291131,Veterinarians
3255,291141,Registered Nurses
3256,291141,Registered Nurses
3257,291141,Registered Nurses
3258,291141,Registered Nurses
3260,291199,"Health Diagnosing and Treating Practitioners, All Other"
3300,292010,Clinical Laboratory Technologists and Technicians
3310,292021,Dental Hygienists
3320,292030,Diagnostic Related Technologists and Technicians
3400,292041,Emergency Medical Technicians and Paramedics
3410,292050,Health Practitioner Support Technologists and Technicians
3420,292050,Health Practitioner Support Technologists and Technicians
3500,292061,Licensed Practical and Licensed Vocational Nurses
3510,292071,Medical Records and Health Information Technicians
3520,292081,"Opticians, Dispensing"
3530,292090,Miscellaneous Health Technologists and Technicians
3535,292090,Miscellaneous Health Technologists and Technicians
3540,299000,Other Healthcare Practitioners and Technical Occupations
3600,311010,"Nursing, Psychiatric, and Home Health Aides"
3610,312010,Occupational Therapy Assistants and Aides
3620,312020,Physical Therapist Assistants and Aides
3630,319011,Massage Therapists
3640,319091,Dental Assistants
3645,31909X,"Healthcare Support Workers, All Other, Including Medical Equipment Preparers"
3646,31909X,"Healthcare Support Workers, All Other, Including Medical Equipment Preparers"
3647,31909X,"Healthcare Support Workers, All Other, Including Medical Equipment Preparers"
3648,31909X,"Healthcare Support Workers, All Other, Including Medical Equipment Preparers"
3649,31909X,"Healthcare Support Workers, All Other, Including Medical Equipment Preparers"
3650,31909X,"Healthcare Support Workers, All Other, Including Medical Equipment Preparers"
3655,31909X,"Healthcare Support Workers, All Other, Including Medical Equipment Preparers"
3700,331011,First-Line Supervisors of Correctional Officers
3710,331012,First-Line Supervisors of Police and Detectives
3720,331021,First-Line Supervisors of Fire Fighting and Prevention Workers
3730,331099,"First-Line Supervisors of Protective Service Workers, All Other"
3740,332011,Firefighters
3750,332020,Fire Inspectors
3800,333010,"Bailiffs, Correctional Officers, and Jailers"
3820,333021,Detectives and Criminal Investigators
3830,3330XX,Miscellaneous law enforcement workers
3840,3330XX,Miscellaneous law enforcement workers
3850,333050,Police Officers
3860,333050,Police Officers
3900,33909X,"Lifeguards and Other Recreational, and All Other Protective Service Workers"
3910,339021,Private Detectives and Investigators
3920,339030,Security Guards and Gaming Surveillance Officers
3930,339030,Security Guards and Gaming Surveillance Officers
3940,339091,Crossing Guards
3945,131040,Compliance Officers
3950,33909X,"Lifeguards and Other Recreational, and All Other Protective Service Workers"
3955,33909X,"Lifeguards and Other Recreational, and All Other Protective Service Workers"
4000,351011,Chefs and Head Cooks
4010,351012,First-Line Supervisors of Food Preparation and Serving Workers
4020,352010,Cooks
4030,352021,Food Preparation Workers
4040,353011,Bartenders
4050,353021,"Combined Food Preparation and Serving Workers, Including Fast Food"
4060,353022,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop"
4110,353031,Waiters and Waitresses
4120,353041,"Food Servers, Nonrestaurant"
4130,3590XX,Miscellaneous food preparation and serving related workers including dining room and cafeteria attendants and bartender helpers
4140,359021,Dishwashers
4150,359031,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop"
4160,3590XX,Miscellaneous food preparation and serving related workers including dining room and cafeteria attendants and bartender helpers
4200,371011,First-Line Supervisors of Housekeeping and Janitorial Workers
4210,371012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
4220,37201X,Janitors and Building Cleaners
4230,372012,Maids and Housekeeping Cleaners
4240,372021,Pest Control Workers
4250,373010,Grounds Maintenance Workers
4300,391010,First-Line Supervisors of Gaming Workers
4320,391021,First-Line Supervisors of Personal Service Workers
4340,392011,Animal Trainers
4350,392021,Nonfarm Animal Caretakers
4400,393010,Gaming Services Workers
4410,393021,Motion Picture Projectionists
4420,393031,"Ushers, Lobby Attendants, and Ticket Takers"
4430,393090,Miscellaneous Entertainment Attendants and Related Workers
4460,394000,Funeral Service Workers
4465,394000,Funeral Service Workers
4500,395011,Barbers
4510,395012,"Hairdressers, Hairstylists, and Cosmetologists"
4520,395090,Miscellaneous Personal Appearance Workers
4530,396010,"Baggage Porters, Bellhops, and Concierges"
4540,397010,Tour and Travel Guides
4550,396030,Transportation Attendants
4600,399011,Childcare Workers
4610,399021,Personal Care Aides
4620,399030,Recreation and Fitness Workers
4640,399041,Residential Advisors
4650,399099,"Personal Care and Service Workers, All Other"
4700,411011,First-Line Supervisors of Retail Sales Workers
4710,411012,First-Line Supervisors of Non-Retail Sales
4720,412010,Cashiers
4740,412021,Counter and Rental Clerks
4750,412022,Parts Salespersons
4760,412031,Retail Salespersons
4800,413011,Advertising Sales Agents
4810,413021,Insurance Sales Agents
4820,413031,"Securities, Commodities, and Financial Services Sales Agents"
